,word1,word2,label
0,абонемент,абонент,1
1,абстрактность,абстракция,1
2,авантюрин,авантюрист,1
3,автобиографический,автобиографичный,1
4,автоматический,автоматичный,1
5,автономия,автономность,1
6,авторитарный,авторитетный,1
7,адресант,адресат,1
8,азарт,азартность,1
9,академический,академичный,1
10,аккордный,аккордовый,1
11,акселерат,акселератор,1
12,активировать,активизировать,1
13,акулий,акуловый,1
14,акционерный,акционерский,1
15,аллегорический,аллегоричный,1
16,аллегри,аллегро,1
17,анархический,анархичный,1
18,английский,англиканский,1
19,анекдотический,анекдотичный,1
20,антагонистический,антагонистичный,1
21,Антарктика,Арктика,1
22,антипатический,антипатичный,1
23,антипедагогический,антипедагогичный,1
24,антрацитный,антрацитовый,1
25,апокрифический,апокрифичный,1
26,аргонавт,астронавт,1
27,аристократический,аристократичный,1
28,аритмический,аритмичный,1
29,ароматический,ароматичный,1
30,артельный,артельский,1
31,артистический,артистичный,1
32,архаический,архаичный,1
33,аспирант,аспират,1
34,астматический,астматичный,1
35,атавистический,атавистичный,1
36,атака,контратака,1
37,Атлантида,Атлантика,1
38,бабий,бабский,1
39,барский,барственный,1
40,беглец,беженец,1
41,бедный,бедственный,1
42,бедняга,бедняк,1
43,безвинный,невинный,1
44,безгласный,негласный,1
45,безголосый,безголосный,1
46,безграмотный,неграмотный,1
47,безграничный,неограниченный,1
48,безделица,бездельница,1
49,беззаконие,беззаконность,1
50,безликий,безличный,1
51,безответный,безответственный,1
52,безумие,безумство,1
53,безыскусный,безыскусственный,1
54,белеть,белить,1
55,бережливость,бережность,1
56,бесчувственность,бесчувствие,1
57,благодарный,благодарственный,1
58,благотворительный,благотворный,1
59,благоустроенность,благоустройство,1
60,ближний,близкий,1
61,блистать,блестеть,1
62,блудить,блуждать,1
63,бобёр,бобр,1
64,болезненный,болезный,1
65,болотистый,болотный,1
66,борзой,борзый,1
67,бородастый,бородатый,1
68,братний,братский,1
69,бродяжий,бродячий,1
70,будний,будничный,1
71,булавочный,булавчатый,1
72,бунтарь,бунтовщик,1
73,бур,бурав,1
74,бывалый,бывший,1
75,в общем,вообще,1
76,в одиночестве,наедине,1
77,вакансия,вакация,1
78,вакхальный,вакханальный,1
79,ванна,ванная,1
80,варение,варенье,1
81,варенный,варёный,1
82,вариант,инвариант,1
83,варкий,варочный,1
84,вассальный,вассальский,1
85,вафельница,вафельщица,1
86,вбежать,взбежать,1
87,вбить,взбить,1
88,ввалить,взвалить,1
89,вдеть,вздеть,1
90,вдовий,вдовый,1
91,вдох,вздох,1
92,вдохнуть,вздохнуть,1
93,вегетативный,вегетационный,1
94,вековой,вечный,1
95,великаний,великанский,1
96,великий,величественный,1
97,величие,величина,1
98,венерический,венерологический,1
99,венец,венок,1
100,вера,доверие,1
