,word1,word2,label
0,словесный,рисковой,0
1,легитимный,тень,0
2,продуктовый,архаичный,0
3,осуждение,комитет,0
4,экзерсисы,экзерциции,1
5,продуктовый,ригористический,0
6,осветитель,осветлитель,1
7,тряхнуть,почтенный,0
8,безграмотный,героизм,0
9,проблемный,проблематичный,1
10,движитель,подача,0
11,неорганичный,штурмовик,0
12,анекдотический,увеселительный,0
13,подпятник,подпяточник,1
14,ошеек,ошейник,1
15,тяготеть,заблуждаться,0
16,благотворительный,благотворный,1
17,садовнический,аллегро,0
18,монтаж,обвинительный,0
19,снискать,сыскать,1
20,двойной,душевность,0
21,доверительность,оживлять,0
22,сценический,сценичный,1
23,швейцар,фанатический,0
24,лавочнический,лавочный,1
25,героизм,экранировать,0
26,диктант,диктат,1
27,централизованный,различие,0
28,ветровой,удачливый,0
29,совестливо,совестно,1
30,бородастый,проповеднический,0
31,дельфиний,дельфиновый,1
32,невежа,гнездовье,0
33,синеть,синить,1
34,истерический,живучий,0
35,мелодика,аккордный,0
36,бесчувственность,адресат,0
37,огрызаться,отгрызаться,1
38,безголосный,обезземелеть,0
39,лакированный,лакировочный,1
40,предоставление,представление,1
41,заживать,заживлять,1
42,вздеть,экологический,0
43,вступить,поступить,1
44,старый,старинный,1
45,оформительный,оформительский,1
46,гостинный,поступить,0
47,маститый,подвижный,0
48,элегический,неудачный,0
49,проповедничий,дыбом,0
50,коллекторский,дождевой,0
51,бедный,бедственный,1
52,тактический,тактичный,1
53,мельничий,горный,0
54,оговорка,единовременный,0
55,опасный,зубастый,0
56,отряхнуть,широкий,0
57,техничный,простацкий,0
58,вольный,произвольный,1
59,начертать,начертить,1
60,вышний,личностный,0
61,луковичный,луковый,1
62,обжорливый,ниточный,0
63,единовременный,одновременный,1
64,просительский,нетерпимый,0
65,психологический,психологичный,1
66,отборник,отборщик,1
67,реабилитационный,реабилитированный,1
68,дедовский,дедушкин,1
69,геройский,скарпель,0
70,купальщик,раскрытие,0
71,экологичный,полнеть,0
72,варкий,варочный,1
73,цветовой,диктант,0
74,затруднительный,гарантия,0
75,метод,методика,1
76,горло,горловина,1
77,сеточный,сетчатый,1
78,благодарный,благодарственный,1
79,просительный,просительский,1
80,достойно,пристойно,1
81,овчарня,сеточный,0
82,вековой,вечный,1
83,реабилитационный,булавчатый,0
84,квадрант,квадрат,1
85,контратака,удачно,0
86,униженный,унизительный,1
87,органический,органичный,1
88,вбить,хваткий,0
