,word1,word2,label
0,нафталин,обезлюдить,0
1,целый,цельный,1
2,вешала,фактор,0
3,атавистичный,приобретательный,0
4,сыскать,снискать,1
5,начертать,начертить,1
6,истерический,добровольческий,0
7,личностный,личный,1
8,чеканный,чеканочный,1
9,непроглядный,трагический,0
10,хлеборобный,хлеборобский,1
11,почтительный,великаний,0
12,доверчивый,тактичный,0
13,тюлений,командированный,0
14,игристый,игривый,1
15,мелкотравчатый,стрелец,0
16,светить,светлить,1
17,автоматичный,автоматический,1
18,цикличный,циклический,1
19,накрапывать,накрапливать,1
20,цветной,ригористичный,0
21,надувательский,надувательный,1
22,земляной,земной,1
23,токсичный,поступок,0
24,ниточный,беглец,0
25,блестеть,восход,0
26,волнующий,вожделенный,0
27,двойственный,двоякий,1
28,диалектизм,керосинный,0
29,тема,выборочный,0
30,возраст,рост,1
31,гидрант,заботный,0
32,гордыня,шляпный,0
33,глубинный,глубокий,1
34,неврастенический,неврастеничный,1
35,могущественный,могучий,1
36,трубчатый,трубочный,1
37,земной,дифференциальный,0
38,швейцар,швейцарец,1
39,героический,геройский,1
40,монистичный,монистический,1
41,животный,восполнить,0
42,деспотичный,полированный,0
43,слоновый,заживлять,0
44,гадальный,гадательный,1
45,нитчатый,ниточный,1
46,опасно,представительский,0
47,придворный,дворовый,1
48,педагогичный,педагогический,1
49,энциклопедический,энциклопедичный,1
50,подголовник,изношенность,0
51,простудливый,обеднеть,0
52,отклоняться,одинокий,0
53,огородить,оградить,1
54,виноватый,виновный,1
55,газовик,газовщик,1
56,усатый,легитимный,0
57,мелодраматический,мелодраматичный,1
58,гагаровый,гагарий,1
59,естество,представление,0
60,методистский,методический,1
61,обездушеть,обездушить,1
62,ответственный,ответный,1
63,обезглаветь,болезный,0
64,гневливый,трагичный,0
65,романтичный,романтический,1
66,малопонятливый,малопонятный,1
67,поручительный,поручительский,1
68,примотать,приметать,1
69,ниточный,нитчатый,1
70,хвостистый,хвостистский,1
71,реалистичный,реалистический,1
72,клеточный,клетчатый,1
